epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,749.522,1.32959,1.1174,1.4603,0.86247,0.69925,0.7915,0.42961,1.41389,0.7468,1.51358,0.000660045,0.000660045,0.000660045
43,766.731,1.31836,1.11264,1.44595,0.76592,0.76513,0.82831,0.42788,1.47024,0.77583,1.5513,0.000649046,0.000649046,0.000649046
44,783.792,1.31682,1.1031,1.44676,0.86559,0.71511,0.81224,0.42954,1.4423,0.77804,1.53334,0.000638047,0.000638047,0.000638047
45,800.95,1.3093,1.10706,1.44791,0.82675,0.76715,0.81311,0.43687,1.43221,0.78557,1.53128,0.000627048,0.000627048,0.000627048
46,818.399,1.30117,1.08062,1.43717,0.76978,0.78324,0.83851,0.43425,1.4929,0.82499,1.58395,0.000616049,0.000616049,0.000616049
47,837.079,1.29164,1.08773,1.43562,0.75386,0.7605,0.81219,0.43472,1.45707,0.78322,1.56054,0.000605051,0.000605051,0.000605051
48,855.247,1.30203,1.07001,1.44066,0.73667,0.80147,0.82815,0.44239,1.46364,0.76453,1.54526,0.000594052,0.000594052,0.000594052
49,873.784,1.29229,1.08303,1.43527,0.83509,0.7009,0.80968,0.4193,1.4879,0.80539,1.58598,0.000583053,0.000583053,0.000583053
50,891.333,1.26827,1.05094,1.41881,0.86142,0.77608,0.83659,0.44299,1.45564,0.74243,1.55142,0.000572054,0.000572054,0.000572054
51,908.557,1.27496,1.03014,1.41746,0.79261,0.75509,0.81385,0.42126,1.50966,0.76447,1.59245,0.000561055,0.000561055,0.000561055
52,925.775,1.28213,1.04811,1.41572,0.80026,0.75986,0.80978,0.43684,1.4525,0.7513,1.55477,0.000550056,0.000550056,0.000550056
53,942.976,1.2793,1.0601,1.42197,0.84526,0.71032,0.82392,0.43449,1.49642,0.78401,1.58923,0.000539057,0.000539057,0.000539057
54,960.225,1.26355,1.03234,1.41176,0.84443,0.72864,0.77581,0.41643,1.46457,0.78479,1.58141,0.000528058,0.000528058,0.000528058
55,977.733,1.26325,1.02473,1.4086,0.83449,0.70669,0.77766,0.4123,1.47775,0.7594,1.5669,0.000517059,0.000517059,0.000517059
56,995.687,1.25546,1.01923,1.40203,0.75588,0.8012,0.82886,0.4413,1.45493,0.73599,1.56219,0.00050606,0.00050606,0.00050606
57,1012.82,1.2612,1.01205,1.40858,0.78202,0.79126,0.84157,0.44422,1.45598,0.74646,1.54814,0.000495062,0.000495062,0.000495062
58,1031.46,1.25634,1.0095,1.39665,0.77334,0.72045,0.82049,0.41839,1.4611,0.75446,1.56997,0.000484063,0.000484063,0.000484063
59,1050.69,1.24973,1.00734,1.39457,0.84659,0.73609,0.83373,0.44113,1.45083,0.72403,1.55534,0.000473064,0.000473064,0.000473064
60,1069.74,1.2442,1.00845,1.40599,0.90682,0.70892,0.80576,0.43015,1.4826,0.75913,1.58791,0.000462065,0.000462065,0.000462065
61,1088.97,1.23578,0.99886,1.39062,0.91228,0.76698,0.81494,0.41975,1.51179,0.76486,1.60585,0.000451066,0.000451066,0.000451066
62,1107.33,1.23146,0.98871,1.38923,0.88144,0.74685,0.80432,0.42101,1.50424,0.76144,1.60091,0.000440067,0.000440067,0.000440067
63,1124.71,1.23454,0.98399,1.38637,0.89752,0.74565,0.80882,0.43698,1.46182,0.71706,1.56696,0.000429068,0.000429068,0.000429068
64,1142.99,1.22144,0.97824,1.37841,0.88693,0.70372,0.83204,0.41257,1.56723,0.76385,1.65335,0.000418069,0.000418069,0.000418069
65,1161.45,1.21954,0.97478,1.3789,0.86968,0.7191,0.7953,0.42778,1.4701,0.74964,1.58316,0.00040707,0.00040707,0.00040707
66,1179.85,1.21414,0.95687,1.37481,0.89924,0.73842,0.79574,0.42375,1.51395,0.7437,1.64638,0.000396071,0.000396071,0.000396071
67,1198.43,1.21144,0.96891,1.37313,0.7783,0.77635,0.80499,0.42862,1.48909,0.7429,1.59311,0.000385073,0.000385073,0.000385073
68,1216.98,1.19877,0.95835,1.36743,0.89826,0.74423,0.80712,0.43206,1.51177,0.74089,1.62925,0.000374074,0.000374074,0.000374074
69,1235.17,1.1998,0.94595,1.36323,0.83699,0.7356,0.80315,0.43475,1.47663,0.73519,1.57538,0.000363075,0.000363075,0.000363075
70,1253.14,1.19798,0.94711,1.35562,0.85733,0.72008,0.80699,0.44127,1.45359,0.72152,1.55704,0.000352076,0.000352076,0.000352076
