epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,517.545,1.06543,0.6205,1.15082,0.75555,0.81127,0.82615,0.4748,1.37424,0.71629,1.45987,0.000484063,0.000484063,0.000484063
59,526.388,1.06281,0.62064,1.15934,0.80029,0.82599,0.85902,0.48606,1.37914,0.69081,1.47575,0.000473064,0.000473064,0.000473064
60,535.228,1.07114,0.61907,1.15619,0.74398,0.79858,0.8228,0.46987,1.37782,0.68076,1.47125,0.000462065,0.000462065,0.000462065
61,544.095,1.05738,0.61233,1.14743,0.84444,0.83836,0.87475,0.47956,1.38098,0.67999,1.45758,0.000451066,0.000451066,0.000451066
62,553.042,1.05277,0.60521,1.15233,0.79221,0.81944,0.8615,0.47347,1.43279,0.69768,1.55572,0.000440067,0.000440067,0.000440067
63,562.577,1.04862,0.60687,1.14745,0.81774,0.83057,0.87622,0.48922,1.38246,0.67715,1.47878,0.000429068,0.000429068,0.000429068
64,571.972,1.04856,0.59995,1.134,0.87253,0.82289,0.87994,0.48385,1.42889,0.68453,1.53891,0.000418069,0.000418069,0.000418069
65,580.901,1.04345,0.59738,1.13677,0.86731,0.80937,0.87498,0.49682,1.396,0.65955,1.50227,0.00040707,0.00040707,0.00040707
66,589.739,1.02792,0.59364,1.13606,0.82679,0.82117,0.87173,0.49552,1.37409,0.66665,1.48534,0.000396071,0.000396071,0.000396071
67,598.455,1.02273,0.581,1.12905,0.89016,0.7741,0.85885,0.48695,1.39411,0.70923,1.48677,0.000385073,0.000385073,0.000385073
68,607.228,1.02381,0.59411,1.13502,0.85124,0.84396,0.88235,0.49079,1.40136,0.65956,1.51246,0.000374074,0.000374074,0.000374074
69,615.892,1.0263,0.59014,1.12729,0.82617,0.82191,0.86678,0.49222,1.40701,0.67452,1.52408,0.000363075,0.000363075,0.000363075
70,624.56,1.01761,0.57898,1.11999,0.8275,0.79921,0.85925,0.4845,1.39135,0.66969,1.49241,0.000352076,0.000352076,0.000352076
71,633.494,0.99901,0.56474,1.11757,0.80911,0.83852,0.86002,0.49458,1.37467,0.65681,1.47406,0.000341077,0.000341077,0.000341077
72,642.163,1.00963,0.56524,1.1181,0.79527,0.82925,0.84539,0.49662,1.36047,0.67083,1.46196,0.000330078,0.000330078,0.000330078
73,650.958,0.99305,0.56269,1.11803,0.77323,0.82969,0.84998,0.48309,1.41505,0.7003,1.52331,0.000319079,0.000319079,0.000319079
74,659.662,0.99382,0.56823,1.11686,0.8238,0.82633,0.85938,0.4888,1.38997,0.66727,1.48567,0.00030808,0.00030808,0.00030808
75,668.515,0.97163,0.56258,1.10934,0.81111,0.82364,0.85373,0.49276,1.35865,0.69121,1.465,0.000297081,0.000297081,0.000297081
76,677.254,0.96817,0.54962,1.11217,0.81943,0.83709,0.86329,0.49317,1.37381,0.68991,1.48206,0.000286083,0.000286083,0.000286083
77,685.981,0.99694,0.55936,1.11646,0.78157,0.85782,0.85878,0.48229,1.39909,0.67443,1.50951,0.000275084,0.000275084,0.000275084
78,694.797,0.97654,0.55498,1.09938,0.85661,0.74795,0.83045,0.48523,1.36674,0.68469,1.48644,0.000264085,0.000264085,0.000264085
79,703.9,0.97864,0.55299,1.09991,0.78174,0.84087,0.84751,0.48637,1.39137,0.6613,1.5106,0.000253086,0.000253086,0.000253086
80,712.855,0.95261,0.54088,1.09546,0.88496,0.76222,0.86212,0.48886,1.38716,0.66609,1.50473,0.000242087,0.000242087,0.000242087
81,721.703,0.95606,0.53896,1.08781,0.87157,0.74643,0.84475,0.47876,1.38956,0.67495,1.50082,0.000231088,0.000231088,0.000231088
82,730.397,0.9497,0.53374,1.09334,0.82444,0.79131,0.84893,0.48618,1.39043,0.68098,1.50196,0.000220089,0.000220089,0.000220089
83,739.254,0.95634,0.53483,1.09329,0.8295,0.83145,0.85163,0.48885,1.39803,0.67099,1.51594,0.00020909,0.00020909,0.00020909
84,748.333,0.94878,0.5336,1.08922,0.88636,0.78441,0.8507,0.48559,1.36885,0.67149,1.48258,0.000198091,0.000198091,0.000198091
85,757.294,0.93257,0.52479,1.08276,0.84565,0.80322,0.8618,0.48439,1.3879,0.68405,1.51938,0.000187092,0.000187092,0.000187092
86,766.331,0.94207,0.53046,1.07907,0.8259,0.81844,0.85048,0.48332,1.39901,0.68714,1.53667,0.000176094,0.000176094,0.000176094
87,775.43,0.93665,0.52267,1.08696,0.84422,0.81402,0.85196,0.48311,1.38182,0.67437,1.50704,0.000165095,0.000165095,0.000165095
88,784.358,0.92803,0.52668,1.08406,0.82919,0.81753,0.86019,0.49152,1.37487,0.66164,1.49519,0.000154096,0.000154096,0.000154096
89,793.348,0.94468,0.53221,1.09184,0.80666,0.79569,0.83882,0.48171,1.39123,0.68649,1.50677,0.000143097,0.000143097,0.000143097
90,802.285,0.93027,0.52008,1.07753,0.82824,0.81155,0.84641,0.48767,1.38778,0.67013,1.51199,0.000132098,0.000132098,0.000132098
91,811.41,0.89919,0.47313,1.06232,0.80797,0.81198,0.81811,0.46028,1.39765,0.67199,1.54698,0.000121099,0.000121099,0.000121099
92,820.173,0.86245,0.44996,1.04244,0.82373,0.80181,0.82677,0.46802,1.39538,0.67443,1.54591,0.0001101,0.0001101,0.0001101
93,828.969,0.85456,0.44148,1.03977,0.85755,0.81695,0.85308,0.48848,1.39244,0.65683,1.54518,9.91012e-05,9.91012e-05,9.91012e-05
94,837.683,0.8501,0.4327,1.03677,0.85231,0.8011,0.8522,0.47928,1.41162,0.6793,1.55759,8.81023e-05,8.81023e-05,8.81023e-05
95,846.292,0.83819,0.43194,1.03496,0.85009,0.79815,0.84802,0.47899,1.41264,0.67167,1.55198,7.71034e-05,7.71034e-05,7.71034e-05
96,854.859,0.83664,0.4256,1.02713,0.87366,0.77475,0.84433,0.48316,1.40117,0.66464,1.53759,6.61045e-05,6.61045e-05,6.61045e-05
97,863.686,0.8259,0.42513,1.02827,0.87237,0.771,0.8486,0.48432,1.40481,0.66766,1.55473,5.51056e-05,5.51056e-05,5.51056e-05
98,872.395,0.82777,0.42496,1.02619,0.80068,0.82713,0.84783,0.48408,1.39436,0.67282,1.54003,4.41067e-05,4.41067e-05,4.41067e-05
99,881.031,0.82099,0.4245,1.02769,0.80861,0.81538,0.84629,0.48128,1.39317,0.66236,1.54109,3.31078e-05,3.31078e-05,3.31078e-05
100,889.678,0.82064,0.42518,1.02071,0.87803,0.77078,0.84661,0.48173,1.39327,0.66621,1.53942,2.21089e-05,2.21089e-05,2.21089e-05
